Id,TagLabel,TagLabelNormalized,AddTime
1958DC4F-CBFF-4766-84D8-001C4DDD3858,GS-4,GS4,2022-10-18 13:35:10.607
44AF34BF-E848-4161-A743-03B07D25C526,GS-7,GS7,2022-10-18 13:35:10.607
F56A8DB9-1D16-4DE2-A108-0926EC372BAC,GS-0,GS0,2022-10-18 13:35:10.637
DFECF5AE-B5BD-4484-98FC-1979C50980E9,HA Spinach Stresed Plant Mold,HASPINACHSTRESEDPLANTMOLD,2022-03-11 11:20:02.750
417DF886-2DD3-424C-A9EA-1D3432E9EC30,Duplet,DUPLET,2022-06-20 17:30:57.637
FD723ABA-DC9D-4F7E-8F16-1D57DD2E7A13,Henrik.balslev@bio.au.dk,HENRIKBALSLEVBIOAUDK,2022-03-03 14:33:52.850
5B32412B-1634-4AFD-AA62-1FB50C42B740,AgroIntelli PoC Gyldensteen,AGROINTELLIPOCGYLDENSTEEN,2022-05-08 11:09:28.543
997D08D3-BF98-4540-8DD5-2F93358CCD09,Grass dif,GRASSDIF,2024-11-18 09:46:58.937
C3D0A165-3887-49AD-9EE8-3412CD3B2048,Stress 2,STRESS2,2022-02-09 08:54:23.100
73BD3445-CB3B-4958-926B-3B356ECAEEC0,GS-8,GS8,2022-10-18 13:35:10.620
2D967D28-E23D-4B88-BF0E-401C35B1FDC4,CloverInImage,CLOVERINIMAGE,2022-03-17 12:13:40.603
003E1AE6-B70B-4B64-A887-409C80222C63,HA Spinach Healthy Plant,HASPINACHHEALTHYPLANT,2022-03-11 11:20:02.750
84E31B00-AF68-4BBA-ACA4-4323B2E9DEDB,HA Spinach Stressed Plant Mold,HASPINACHSTRESSEDPLANTMOLD,2022-03-11 11:47:45.733
71C4CE32-A58B-493C-8DB5-494F2ECF8D75,lupin,LUPIN,2023-07-15 08:45:31.050
157748FD-E8CB-4F62-8CEC-4B894D2B43BB,spinat fungi,SPINATFUNGI,2022-02-18 16:24:23.233
489A592F-EF78-476F-B907-50A3803EB139,SQMFarm healthy,SQMFARMHEALTHY,2022-04-05 15:00:05.563
81B3B87A-A9D9-4AB0-9A11-53002DD0BC66,Stress 3,STRESS3,2022-02-17 20:13:34.403
AE981CDF-3C7D-4AFC-90B9-5578AC4607BB,HA Stress 3,HASTRESS3,2022-03-02 15:57:16.687
4BE46756-DC53-4F7A-A7B2-5EF4FFDD3101,test 2,TEST2,2022-02-22 11:23:06.870
DBF9C0F1-FA12-46C0-BA0F-5F112390B6D2,Convolvulus arvensis,CONVOLVULUSARVENSIS,2022-06-27 20:22:16.753
01A1F839-C0F6-4F9A-9F00-62F7E3CDA886,HA Stress 1,HASTRESS1,2022-03-02 15:57:16.687
24BB1270-1266-4754-A895-62FA6C8B425A,BuckWheat_found_whole_image,BUCKWHEATFOUNDWHOLEIMAGE,2023-07-05 20:43:59.030
769C2C49-C477-4003-B9F7-66A30976DA7B,GS-3,GS3,2022-10-18 13:35:10.620
05967CCA-B25C-4AD9-8860-68A6DFB32EDD,MISS,MISS,2022-02-25 15:15:01.657
7B0154B6-9E1B-4909-9E94-6AEF71CB5C71,bregne,BREGNE,2022-05-18 13:37:14.120
728874AB-AD92-4E2C-9F24-70FAF9D8516D,SQMFarm stressed fungi,SQMFARMSTRESSEDFUNGI,2022-06-21 10:42:02.623
F9376B47-CB62-4274-995B-75ECC7CFB945,CLA test,CLATEST,2024-08-30 14:18:08.790
AFB26940-6115-4351-AEB5-787D5F8EF3B8,spinat stressed,SPINATSTRESSED,2022-02-22 13:16:18.543
7EA14750-C4CD-4B4B-B33F-83FBDB710574,"Spinat, rask",SPINATRASK,2022-12-21 10:28:53.827
0B634639-CF9B-4E9B-8642-859E4BEF679C,FIN_STEN,FINSTEN,2022-02-25 15:15:27.203
